n, n * root(n), n * n, n * log(n) 
375000,0.0016146165454740387,-3.343611290360467E-4,0.07703710307829277
375250,0.0016043026785781537,-4.002568955076659E-4,0.0765665395598231
375500,0.0016234309776274258,-5.091520833224747E-4,0.07750123546624885
375750,0.0015942417881582252,-6.727020941633882E-4,0.07612915190631082
376000,0.0017788518125093635,-0.0011458681268810868,0.08496860726855815
376250,0.0016720480798750113,-0.00227183524560606,0.07988943261103515
376500,0.0016048904866525233,0.020227797869545216,0.07670218651468963
376750,0.0016298015369210547,0.0018238813445485445,0.07791458313833059
377000,0.0016352655193062084,9.581116124069007E-4,0.0781976883928276
377250,0.0016227645899976172,6.442479682038912E-4,0.07762161702777157
377500,0.001604208793322241,4.8176345602829647E-4,0.07675549984464472
377750,0.001602741434899853,3.8715309887303904E-4,0.07670672580792666
378000,0.0016233632999178395,3.280391380895747E-4,0.07771538346080886
378250,0.0016012883013275438,2.7817070523495567E-4,0.07667998380899256
378500,0.0016006039034400727,2.438741549896626E-4,0.07666859160698818
378750,0.0017176845643678519,2.3309866809873248E-4,0.08229966735241286
379000,0.001604766401039869,1.963368871713454E-4,0.07691082399587458
379250,0.0016196642493803706,1.8042185950346238E-4,0.07764643725874142
379500,0.0016022375844324422,-1.86484567186814E-4,0.07683237699780265
379750,0.0015987327079609091,-2.0569867028765823E-4,0.07668562356995522
380000,0.0016171341194353725,-2.3255741654203685E-4,0.07758982887961219
380250,0.0015969025062100818,-2.602400244815222E-4,0.07664039574033486
380500,0.001624300841167801,-3.053246661235854E-4,0.07797696174284573
380750,0.0016036327618771501,-3.559963141927846E-4,0.07700611024404988
381000,0.0016025223828882611,-4.3423802634529605E-4,0.076974117585703
381250,0.0017332293270887842,-6.0238387813161E-4,0.0832754358067646
381500,0.001602046592359965,-7.75730523208723E-4,0.07699388260796221
381750,0.0016247240080296222,-0.0012954255704554322,0.0781053514869946
382000,0.0016061449518919005,-0.0036153780090745122,0.07723354474881977
382250,0.001600084298754417,0.004388192340475544,0.07696336623323981
382500,0.0016189754951227045,0.0013808311462031328,0.07789352346068651
382750,0.0016052271486384384,8.11032074299013E-4,0.07725335973737209
383000,0.001583953326249072,5.687520245051288E-4,0.07625055139810032
383250,0.0015989257302990879,4.454284218999383E-4,0.07699252297343608
383500,0.001586246310654773,3.610635839795482E-4,0.07640300843804358
383750,0.0016649577109939563,3.204405697399003E-4,0.08021628402910802
384000,0.001592814830598454,2.6558533387531E-4,0.07676160458938722
384250,0.0015906728425231717,2.3399578919735365E-4,0.07667944569236097
384500,0.0016162166513223242,2.1273495503109656E-4,0.07793220122048372
384750,0.001596372488726661,1.9014067013828988E-4,0.07699646607715475
385000,0.0016193902006920436,-1.843147495404352E-4,0.07812808515261338
385250,0.0015937257209490013,-1.9991157077512214E-4,0.07691097097237701
385500,0.0016141934615168897,-2.254661481684441E-4,0.07792005659208577
385750,0.0015891672392109076,-2.503562516725651E-4,0.07673299787147914
386000,0.0015806182835433052,-2.8546783890679177E-4,0.07634109320984765
386250,0.0016687317287556928,-3.5299834368009684E-4,0.08061885622335484
386500,0.0015914481749528006,-4.0611387343844347E-4,0.07690618508140436
386750,0.0016089933873513515,-5.17163828076617E-4,0.07777528503089597
387000,0.0015947242611187454,-6.91946095645539E-4,0.07710658374285123
387250,0.001588076146667482,-0.0010592514892212373,0.07680608277045002
387500,0.0016029563133596913,-0.0023069667939020566,0.07754688144670553
387750,0.0015892298953541504,0.014641811353699793,0.07690377512288495
388000,0.0016029620417004438,0.0017597975585505966,0.07758939738141654
388250,0.0015795057343182654,9.225094478091324E-4,0.07647482283190794
388500,0.0016389350250345395,6.52323301204626E-4,0.07937378057348778
388750,0.0016304231888132855,4.923215208973973E-4,0.0789830054777759
389000,0.0015917564632949824,3.872958691328873E-4,0.07713080101819393
389250,0.0016355593494378235,3.3330336512039357E-4,0.07927483750083902
389500,0.0015841631992719388,2.7776290306488776E-4,0.07680451146457722
389750,0.0015657479498995134,2.4094186673100906E-4,0.0759322635376013
390000,0.0015937678323723248,2.1854639045612863E-4,0.07731204501229648
390250,0.0015884628374252684,1.9645322510347644E-4,0.07707556163915424
390500,0.0016115254703398842,-1.8474821561364642E-4,0.07821576082476925
390750,0.0015816484280224885,-1.9983342583304136E-4,0.07678642372148756
391000,0.0017409548234764399,-2.4493293290336757E-4,0.08454332058775954
391250,0.0016980159321020915,-2.6944221983777944E-4,0.08248040781842685
391500,0.0015791875993751044,-2.872774805550485E-4,0.07672906904668456
391750,0.0015921135995144071,-3.392366323812831E-4,0.07737797275045674
392000,0.0015774709879169437,-4.054784389196563E-4,0.07668699032823519
392250,0.0015766144214957804,-5.104643370335329E-4,0.07666599068658643
392500,0.0016053278763336475,-7.016889210484486E-4,0.07808324890448723
392750,0.0015780737412859518,-0.001060503015785315,0.07677825171835312
393000,0.0015938592116145575,-0.002312294538603848,0.07756710920625512
393250,0.0015768897969967032,0.01454271760149386,0.07676188725749146
393500,0.0015717412083940925,0.001736448158288092,0.07653179829646682
393750,0.0017000425822300737,9.995244525171677E-4,0.08280130526349162
394000,0.0015728341828963202,6.302564470026949E-4,0.07662610574777655
394250,0.0015976768221467588,4.857291164444662E-4,0.07785725887683488
394500,0.001583001655037303,3.878083802329948E-4,0.07716277362631634
394750,0.0015919408819859945,3.266459709753723E-4,0.07761928016654165
395000,0.0016200366002521271,2.8600944377041537E-4,0.07901028760890015
395250,0.0016022013228971668,2.4825098752114064E-4,0.0781613354894257
395500,0.0015996370782801156,2.2086375080581657E-4,0.07805708774554954
395750,0.0015783554077978496,1.9654920402836868E-4,0.07703917241397745
396000,0.0015779926238705115,-1.8745013037415863E-4,0.07704201395673836
396250,0.0016719118857456703,-2.1952096315761403E-4,0.08164917927727879
396500,0.0015770474098897782,-2.3140214811717805E-4,0.07703691733808418
396750,0.0015940440572971186,-2.650031433832543E-4,0.0778879194886851
397000,0.0015790662109293782,-3.027230546913347E-4,0.07717660813576964
397250,0.001575459021976425,-3.565812792720317E-4,0.07702078690210756
397500,0.00160892709631834,-4.4429999925777374E-4,0.0786778759199803
397750,0.00157456220628057,-5.573087353754712E-4,0.07701785754504291
398000,0.0015989264612937843,-7.875204256673933E-4,0.07823036893440172
398250,0.001570205234393332,-0.0012700197470804735,0.07684551332086727
398500,0.001560022199237826,-0.0035183805709365916,0.0763674007412453
398750,0.0017412379919665277,0.004995172294645018,0.08526100143728169
399000,0.0015591976031107352,0.0013682355569955547,0.07636747767174121
399250,0.0015750163376030638,8.162559734161509E-4,0.07716267472229803
399500,0.001558128731486001,5.73143333171809E-4,0.07635551267214746
399750,0.0015575773086404468,4.4418616021490493E-4,0.07634866605662394
400000,0.0015738655914658024,3.6655893649033895E-4,0.07716745767730013
400250,0.0015566341591127094,3.064436076264608E-4,0.07634274072653177
400500,0.0015689464741759746,2.675214853806821E-4,0.07696688084897021
400750,0.0015556927190793018,2.3397938297487636E-4,0.07633682210359345
401000,0.0015551044964094002,2.0924538867228413E-4,0.07632806661995004
401250,0.0016966270947347275,2.0655027790891328E-4,0.08329624818310756
401500,0.0015533403812064384,-1.9694920135170126E-4,0.07628162949513163
401750,0.0015550323316815121,-2.19295094278028E-4,0.07638480413090343
402000,0.0015405955632286684,-2.446912145057344E-4,0.07569554773496337
402250,0.001550758031732016,-2.8184831535752104E-4,0.07621488685109097
402500,0.0015434040909662325,-3.2774854426490744E-4,0.0758733787436544
402750,0.001541889003842487,-3.9362971168921873E-4,0.07581878589622815
403000,0.0015605456510052996,-4.992014776963922E-4,0.0767563049769701
403250,0.0015398812859060966,-6.59183320011362E-4,0.07575976539563521
403500,0.001560728114165069,-0.0010088844580213071,0.07680550732300133
403750,0.00159369724283633,-0.0021000052862237455,0.07844849005174105
404000,0.0015280403241429523,0.05417553990527357,0.0752362554644916
404250,0.0015535854441297184,0.0019077877701797947,0.07651402019331381
404500,0.0015409894964931582,9.634191564083734E-4,0.0759134986574316
404750,0.0015602997118492144,6.545724375782956E-4,0.07688484430928731
405000,0.0015365459454228171,4.8518654411279846E-4,0.07573411852970606
405250,0.001537372558768059,3.892893163059587E-4,0.07579462230024665
405500,0.0015644502299396118,3.307174760869969E-4,0.07714969171353461
405750,0.0015375496242874046,2.790062028079919E-4,0.07584285823705728
406000,0.0016219448341427908,2.5785335315477257E-4,0.08002665544577608
